Task_ID,DataSize_kB,CPU_Cycles_GHz,Memory_MB,ExecutionTime_s,TransmissionTime_s,WaitingTime_s,SetupTime_s,TotalExecutionTime_s,Deadline_s,OffloadDecision,Task_Type,Task_Size,CPU_Cycles,Min_CPU_Speed,Computational_Frequency,Task_Origin_Time,Task_Deadline,Available_Time,Exec_Time_Estimate,Priority_Score
1,437.0861069626262,0.8591861003740675,228.4949825545879,0.08591861003740675,0.0010075543785574275,0.03397197148025555,0.012781217706720641,0.13367935360294037,0.13644720325062562,EFaaS,Video,437.0861069626262,859186100.3740675,2065895263.6386547,518.1358235589984,234.29131738300748,0.14981651695333173,0.01,0.00010962316143674967,4.626034818263126
2,955.6428757689246,1.3586613263297014,222.83985884364793,1.3586613263297014,0.0022141087310323135,0.03054831420861219,0.005767482596682139,1.397191231866028,1.324590439083524,IoT,Image,955.6428757689246,1358661326.3297014,1758958453.6260061,1136.0039496609027,120.18063194429743,1.834426555213457,0.01,0.0006171914288827355,4.67821520299839
3,758.7945476302646,1.8221241702269717,476.0017589200781,0.18221241702269717,0.001712969482444458,0.02152738103838118,0.008492878353141414,0.2139456458966642,0.2534553965127354,EFaaS,Image,758.7945476302646,1822124170.2269716,1492261412.4961345,261.04196119281977,305.5718965508758,0.24797225804573447,0.01,0.00013273627207480702,4.628351595350651
4,638.792635777333,1.6251148409733855,223.82574074221034,1.6251148409733855,0.001469483873931073,0.010258574311588423,0.012380025941481241,1.6492229251003863,1.4941655268722727,IoT,Image,638.792635777333,1625114840.9733856,1525081063.9547384,1869.9552416792603,302.59223767201945,2.208036535023618,0.01,0.0007832459964589695,4.695906902673704
5,240.41677639819287,1.7291856070060296,232.4286948333943,1.7291856070060296,0.0005517470592608113,0.02984956887603256,0.009653529256170572,1.7692404521974936,1.6822994326107172,IoT,Image,240.41677639819287,1729185607.0060296,2193733189.2157393,700.3490896425902,315.29035386198154,2.1548601923524093,0.01,7.675303054765513e-05,4.622749430638385
6,240.3950683025824,1.5222967133950043,419.60893276849805,1.5222967133950043,0.0005577509469310279,0.021425039542489723,0.007726453966417914,1.552005957850843,2.1488694588314816,IoT,Video,240.3950683025824,1522296713.3950043,2819450799.310984,476.9917478563126,0.0,3.0774905766755034,3.0774905766755034,4.06697871208494e-05,0.2813704684517071
7,152.27525095137952,1.5691871903249934,300.70009950100734,0.15691871903249935,0.000354278285952812,0.039384332028421405,0.012561992628776573,0.20921932197565013,0.28514166785837336,EFaaS,Video,152.27525095137952,1569187190.3249934,364629811.4452394,1018.2721365235709,255.4490951655858,0.32954931041452895,0.01,0.0004252467578318426,4.658154721099006
8,879.5585311974417,1.788873912191447,426.2568538707896,1.788873912191447,0.0019551160994030065,0.01095785061081934,0.009842146901717756,1.811629025803387,2.625201353034038,IoT,Video,879.5585311974417,1788873912.191447,156557678.07050866,590.1457459866963,235.43171199183286,2.8860608968374115,0.01,0.003315504751537675,5.014626829444089
9,641.0035105688879,0.9495352124028602,153.10060450472395,0.09495352124028603,0.0014776997384237966,0.03339311245223164,0.00887161464760122,0.13869594807854269,0.19593705038952278,EFaaS,Video,641.0035105688879,949535212.4028602,2436543898.1954904,1093.0629684461564,103.40268642666447,0.28223468041781447,0.01,0.0002875619029748424,4.644013512404152
10,737.2653200164409,1.2851949491003967,315.22733837057956,1.2851949491003967,0.0016434675015226732,0.04765896950024262,0.011959781261605712,1.3464571673637677,1.76373143084261,IoT,Image,737.2653200164409,1285194949.1003966,413691223.8972021,729.5928420750666,0.0,1.6919895689733955,1.6919895689733955,0.0013002535928290373,0.4646610871594943
